,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,foo-hing-kitchen-bronx-2,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.8071172634158, 'longitude': -73.9186938107014}",(718) 993-8680,9.24103925682594,KsFPy1YWXR3_CE3IC4fDpQ,https://s3-media3.fl.yelpcdn.com/bphoto/z9_Ko90wywS3PEwoSy8jhg/o.jpg,False,"{'address1': '522 East 138th St', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['522 East 138th St', 'Bronx, NY 10454']}",Foo Hing Kitchen,+17189938680,,2.0,2,[],https://www.yelp.com/biz/foo-hing-kitchen-bronx-2?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
1,camaguey-restaurant-bronx,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 40.80721, 'longitude': -73.91909}",(718) 402-5015,24.957045741737858,FE7GtbfMnqQMVtPFdx55hQ,https://s3-media3.fl.yelpcdn.com/bphoto/_W8Okyli0HjkGUuIr-0qiA/o.jpg,False,"{'address1': '514 E 138th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['514 E 138th St', 'Bronx, NY 10454']}",Camaguey Restaurant,+17184025015,$,3.0,2,[],https://www.yelp.com/biz/camaguey-restaurant-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
2,cervantes-bar-restaurant-bronx,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.80694, 'longitude': -73.91815}",(718) 292-8865,57.09854716242744,Ja69M3Q904DRtWhRFRSmNw,https://s3-media2.fl.yelpcdn.com/bphoto/wwCAq2wxQUYoUoexKjgiKw/o.jpg,False,"{'address1': '536 E 138th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['536 E 138th St', 'Bronx, NY 10454']}",Cervantes Bar Restaurant,+17182928865,,5.0,1,"['delivery', 'pickup']",https://www.yelp.com/biz/cervantes-bar-restaurant-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
3,golden-pizza-bronx,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.80751, 'longitude': -73.9194799}",(718) 665-8328,67.87851970270862,cBY_Yuh_m78qsmC37ToS1w,https://s3-media2.fl.yelpcdn.com/bphoto/w0Ke8_7zb5WsrKWEq-NYJg/o.jpg,False,"{'address1': '504 E 138th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['504 E 138th St', 'Bronx, NY 10454']}",Golden Pizza,+17186658328,$,4.5,19,[],https://www.yelp.com/biz/golden-pizza-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
4,eat-better-today-deli-and-grill-bronx,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'delis', 'title': 'Delis'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.8065370599653, 'longitude': -73.9187496783578}",(347) 270-2323,71.75237839100669,llfFZlCH-7cUI_a4ClmNJQ,https://s3-media2.fl.yelpcdn.com/bphoto/dlzBqIJe38PQht3cgp4wqA/o.jpg,False,"{'address1': '527 E 137th St', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['527 E 137th St', 'Bronx, NY 10454']}",Eat Better Today Deli & Grill,+13472702323,$,3.5,11,"['delivery', 'pickup']",https://www.yelp.com/biz/eat-better-today-deli-and-grill-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
5,express-brook-bronx-2,"[{'alias': 'diners', 'title': 'Diners'}]","{'latitude': 40.80756, 'longitude': -73.91959}",(718) 585-5880,78.98691566385767,bQNqiix_9TgeFy2cbjms-Q,https://s3-media2.fl.yelpcdn.com/bphoto/01FyZSgM7M4AodfOCta6Xg/o.jpg,False,"{'address1': '502 E 138th St', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['502 E 138th St', 'Bronx, NY 10454']}",Express Brook,+17185855880,$,3.5,5,"['delivery', 'pickup']",https://www.yelp.com/biz/express-brook-bronx-2?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
6,el-viejo-gran-cafe-corp-west-bronx,"[{'alias': 'cafes', 'title': 'Cafes'}]","{'latitude': 40.807464, 'longitude': -73.919749}",(718) 993-3932,88.76456290590879,OSY72lD-FRxndFoUsObR0g,https://s3-media1.fl.yelpcdn.com/bphoto/XiDCb6NE-LkMKLsHL3_rwQ/o.jpg,False,"{'address1': '498 E 138th St', 'address2': '', 'address3': '', 'city': 'West Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['498 E 138th St', 'West Bronx, NY 10454']}",El Viejo Gran Cafe Corp,+17189933932,,4.0,5,[],https://www.yelp.com/biz/el-viejo-gran-cafe-corp-west-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
7,texas-chicken-and-burgers-bronx-15,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 40.807906, 'longitude': -73.9192687}",(347) 271-7138,91.06771683214149,HnvxdOsae7KIEXNZi04iFQ,https://s3-media1.fl.yelpcdn.com/bphoto/kr5XYJFZxTx_elPTDW189g/o.jpg,False,"{'address1': '235 Brook Ave', 'address2': '', 'address3': None, 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['235 Brook Ave', 'Bronx, NY 10454']}",Texas Chicken & Burgers,+13472717138,$,2.5,3,[],https://www.yelp.com/biz/texas-chicken-and-burgers-bronx-15?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
8,fast-wok-bronx,"[{'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.808, 'longitude': -73.9187199}",(718) 292-1801,95.56698340552114,SFleMiroXTeWnXfonRic-w,https://s3-media4.fl.yelpcdn.com/bphoto/KaTdvJhy3CSUtVDS8rwL-Q/o.jpg,False,"{'address1': '260 Brook Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['260 Brook Ave', 'Bronx, NY 10454']}",Fast Wok,+17182921801,,4.0,8,[],https://www.yelp.com/biz/fast-wok-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
9,kennedy-fried-chicken-bronx-42,"[{'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'latitude': 40.80677, 'longitude': -73.91774}",(718) 401-5980,101.29848786290873,ino-vCZ98zwWcrE7tlDsEw,https://s3-media3.fl.yelpcdn.com/bphoto/T4SnX3WLnwiWPWo8H34Udg/o.jpg,False,"{'address1': '548 E 138th St', 'address2': None, 'address3': None, 'city': 'Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['548 E 138th St', 'Bronx, NY 10454']}",Kennedy Fried Chicken,+17184015980,$,3.5,6,[],https://www.yelp.com/biz/kennedy-fried-chicken-bronx-42?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
