,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
0,el-valle-restaurant-bronx-80,"[{'alias': 'dominican', 'title': 'Dominican'}]","{'latitude': 40.8374329, 'longitude': -73.9206161}",(718) 410-0012,80.43223616480155,R2Tmd1sKuvoyNC6CPw2u6g,https://s3-media2.fl.yelpcdn.com/bphoto/3xMQWtM6X2BUSw0-F5HlkQ/o.jpg,False,"{'address1': '1267 Jerome Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['1267 Jerome Ave', 'Bronx, NY 10452']}",El Valle Restaurant,+17184100012,,3.0,10,"['delivery', 'pickup']",https://www.yelp.com/biz/el-valle-restaurant-bronx-80?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
1,dominos-pizza-bronx-3,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'latitude': 40.835829, 'longitude': -73.920871}",(718) 293-2170,112.26013824868974,hALJmeLcWiG8qxd6rDhkiQ,https://s3-media1.fl.yelpcdn.com/bphoto/GfiLLJI-UGE4mHxs81PIig/o.jpg,False,"{'address1': '41 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['41 E 167th St', 'Bronx, NY 10452']}",Domino's Pizza,+17182932170,$,1.5,54,[],https://www.yelp.com/biz/dominos-pizza-bronx-3?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
2,subway-bronx-42,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'latitude': 40.83573, 'longitude': -73.9208}",(718) 588-3804,113.68558425254571,sbR7YePMb_PJ59bjxktGZA,https://s3-media1.fl.yelpcdn.com/bphoto/qGlFl4H3Q_ZsqCs7eKP70Q/o.jpg,False,"{'address1': '55 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['55 E 167th St', 'Bronx, NY 10452']}",Subway,+17185883804,,3.5,3,[],https://www.yelp.com/biz/subway-bronx-42?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
3,lillys-cafe-bronx,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.8356628, 'longitude': -73.920578}",(646) 404-5480,117.48939111528205,wdLvwNIbafdY9gswF9-j2w,https://s3-media2.fl.yelpcdn.com/bphoto/ge0MCdaROYm_GR7RpvXoRw/o.jpg,False,"{'address1': '53 E 167th St', 'address2': None, 'address3': None, 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['53 E 167th St', 'Bronx, NY 10452']}",Lillys Cafe,+16464045480,$$,2.0,15,"['delivery', 'pickup']",https://www.yelp.com/biz/lillys-cafe-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
4,justine-restaurant-new-york,"[{'alias': 'spanish', 'title': 'Spanish'}]","{'latitude': 40.8357772827148, 'longitude': -73.9213333129883}",(718) 538-2100,138.55955558537198,1vunbCxqhhbfnZy5wc_DCA,https://s3-media3.fl.yelpcdn.com/bphoto/tD6qs7386Y5WB5yiphgxWQ/o.jpg,False,"{'address1': '28 E 167th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['28 E 167th St', 'New York, NY 10452']}",Justine Restaurant,+17185382100,$,2.5,26,[],https://www.yelp.com/biz/justine-restaurant-new-york?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
5,la-nueva-win-hing-restaurant-bronx,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'cuban', 'title': 'Cuban'}]","{'latitude': 40.83543, 'longitude': -73.92115}",(718) 992-0404,159.82523275901372,zSeISbNAkJwTEqvUGNT-OA,https://s3-media2.fl.yelpcdn.com/bphoto/lGmhBq279eU2v1wLH_B5-Q/o.jpg,False,"{'address1': '40 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['40 E 167th St', 'Bronx, NY 10452']}",La Nueva Win Hing Restaurant,+17189920404,$$,3.5,22,[],https://www.yelp.com/biz/la-nueva-win-hing-restaurant-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
6,little-caesars-new-york-2,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.8357620393808, 'longitude': -73.9218950271606}",(718) 992-9000,171.16349258388706,uaDvTXlF5GkLNZIv493vRQ,https://s3-media3.fl.yelpcdn.com/bphoto/RMXglH0BnCl0Cap3XxYUaQ/o.jpg,False,"{'address1': '15 E 167th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['15 E 167th St', 'New York, NY 10452']}",Little Caesars,+17189929000,$,3.0,6,"['delivery', 'pickup']",https://www.yelp.com/biz/little-caesars-new-york-2?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
7,giovannis-4-bronx,"[{'alias': 'italian', 'title': 'Italian'}]","{'latitude': 40.83522, 'longitude': -73.92016}",(718) 538-2054,187.049440363093,_uW27eEtontulc7MNPr74Q,,False,"{'address1': '76 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['76 E 167th St', 'Bronx, NY 10452']}",Giovanni's 4,+17185382054,$$,3.0,9,"['delivery', 'pickup']",https://www.yelp.com/biz/giovannis-4-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
8,giovannis-pizza-bronx,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 40.83522, 'longitude': -73.92016}",(718) 538-2054,187.049440363093,qyYcmUA4kAa6oeUK4PEshg,https://s3-media3.fl.yelpcdn.com/bphoto/Tlx8WFjGG5i3e3M2bZ7ugQ/o.jpg,False,"{'address1': '76 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['76 E 167th St', 'Bronx, NY 10452']}",Giovanni's Pizza,+17185382054,$$,2.5,33,[],https://www.yelp.com/biz/giovannis-pizza-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
9,dragon-concourse-bronx,"[{'alias': 'restaurants', 'title': 'Restaurants'}]","{'latitude': 40.83524, 'longitude': -73.92022}",(718) 681-3388,188.77717312693028,JEnpvrAPGJEAAeETO4AJvQ,https://s3-media2.fl.yelpcdn.com/bphoto/q0mYhA4G1FHkGRF7d_h6Zw/o.jpg,False,"{'address1': '74 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['74 E 167th St', 'Bronx, NY 10452']}",Dragon Concourse,+17186813388,,1.5,2,[],https://www.yelp.com/biz/dragon-concourse-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
10,mcdonalds-bronx-19,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 40.835136, 'longitude': -73.919899}",(718) 992-8642,189.6736762316686,cq7TygpCsL0J6cCZ37L_iA,https://s3-media2.fl.yelpcdn.com/bphoto/E5GGOIqzOJ3WB8oogtxnQg/o.jpg,False,"{'address1': '86 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['86 E 167th St', 'Bronx, NY 10452']}",McDonald's,+17189928642,$,1.0,7,[],https://www.yelp.com/biz/mcdonalds-bronx-19?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
11,emilios-bakery-and-coffee-bronx,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.8381271, 'longitude': -73.9188232}",(347) 297-8732,200.50569770920836,iwFI9MgdraPRv2crU3xYlQ,https://s3-media3.fl.yelpcdn.com/bphoto/2KaYhKEZJNnfbFfFtdFkwg/o.jpg,False,"{'address1': '6 E Clarke Pl', 'address2': None, 'address3': None, 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['6 E Clarke Pl', 'Bronx, NY 10452']}",Emilio's Bakery & Coffee,+13472978732,$,3.5,11,"['delivery', 'pickup']",https://www.yelp.com/biz/emilios-bakery-and-coffee-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
12,plaza-tulcingo-restaurant-bronx,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.83815, 'longitude': -73.9187}",(718) 681-5020,208.55746560638684,JaDt1ule0xPIY8juArcdUw,https://s3-media3.fl.yelpcdn.com/bphoto/0f193JCuj2bvqoOSFqQ7ew/o.jpg,False,"{'address1': '10 E Clarke Pl', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['10 E Clarke Pl', 'Bronx, NY 10452']}",Plaza Tulcingo Restaurant,+17186815020,$$,1.5,3,[],https://www.yelp.com/biz/plaza-tulcingo-restaurant-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
13,nb-national-bakery-bronx,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 40.83484, 'longitude': -73.91974}",(718) 537-5105,219.24755134967788,DV8rKmyE2OtBfyGnP_GAqg,https://s3-media4.fl.yelpcdn.com/bphoto/bm8Kg923k2gwfNdeG_6yCQ/o.jpg,False,"{'address1': '1193 Walton Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['1193 Walton Ave', 'Bronx, NY 10452']}",NB National Bakery,+17185375105,,4.0,2,"['delivery', 'pickup']",https://www.yelp.com/biz/nb-national-bakery-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
14,corner-style-jamaican-and-american-bronx,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'newamerican', 'title': 'American (New)'}]","{'latitude': 40.83489, 'longitude': -73.91971}",(718) 410-8460,219.50612783515726,fkJ4Nr8xs3xjgl9T7d6Agw,https://s3-media1.fl.yelpcdn.com/bphoto/PMf1w6gO5mJKL3zg7IlUEA/o.jpg,False,"{'address1': '1195 Walton Ave', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['1195 Walton Ave', 'Bronx, NY 10452']}",Corner Style Jamaican & American,+17184108460,$,4.0,35,[],https://www.yelp.com/biz/corner-style-jamaican-and-american-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
15,mi-pueblito-bronx,"[{'alias': 'mexican', 'title': 'Mexican'}]","{'latitude': 40.8351145691322, 'longitude': -73.9189435341721}",(718) 588-4023,223.6204771571409,JYoCTZrJ0VRTmQFYUz_bSg,https://s3-media4.fl.yelpcdn.com/bphoto/juVdLYsrNndsDD3kmXaNWA/o.jpg,False,"{'address1': '111 E 167th St', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['111 E 167th St', 'Bronx, NY 10452']}",Mi Pueblito,+17185884023,$,2.5,10,"['delivery', 'pickup']",https://www.yelp.com/biz/mi-pueblito-bronx?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
16,checkers-bronx-6,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}]","{'latitude': 40.8356520135598, 'longitude': -73.9226446857708}",(917) 891-6060,228.44662041288223,YhhHgHvhj8jbpJtmPF6BhQ,https://s3-media2.fl.yelpcdn.com/bphoto/d045vQf8ONcmpicwx08Msg/o.jpg,False,"{'address1': '1203 Jerome Ave.', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10452', 'country': 'US', 'state': 'NY', 'display_address': ['1203 Jerome Ave.', 'Bronx, NY 10452']}",Checkers,+19178916060,$,5.0,1,"['delivery', 'pickup']",https://www.yelp.com/biz/checkers-bronx-6?adjust_creative=quzn37YzA9S6n_MFPmB6hg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=quzn37YzA9S6n_MFPmB6hg
